Name,Description,Type,AccountName_BlueSky,Server_Mastodon,AccountName_Mastodon,AccountName_Twitter,AccountName_LinkedIn,AccountName_YouTube,AccountName_GitHub,Url_RssFeed,Url_Website,Url_Blog,Providence
ListSky,"ListSky manages a number of open lists of people, organisations, communities and bots.",Bot,listsky.bsky.social,,,,,,,,https://instantiator.dev/listsky,,
Lewis Westbury,Software developer working for the Collective Intelligence team at Nesta.,Individual,instantiator.bsky.social,mastodon.social,instantiator,,lewiswestbury,,instantiator,https://instantiator.dev/index.xml,https://instantiator.dev,https://instantiator.dev,https://docs.google.com/spreadsheets/d/e/2PACX-1vSD7EtY6pg1Bk2OMmQzScWfgfKx7mJFkeLpHsN_DFd9qVSs6o6z5RGHAX_q1iW5b0O9rhOm5h4sxWEv/pub?gid=125969614&single=true&output=csv
Joshua Becker,Assistant Professor at the UCL School of Management. Joshua's work is focused largely on collective intelligence.,Individual,joshuabecker.bsky.social,,,joshua_a_becker,collectivestudies,,,,https://www.joshua-becker.com/,,
Sir Geoff Mulgan,"Professor of Collective Intelligence, Public Policy and Social Innovation at University College London.",Individual,,,,,sir-geoff-mulgan-aa1079187,,,,,,
Isabella Roberts,Researcher focused on Collective Intelligence and Democracy.,Individual,,,,,isabellaroberts,,,,,,
Centre for Collective Intelligence,"At the Centre for Collective Intelligence Design, we create new ways for communities to use technology to harness their ideas and power to act on the problems that matter to them and create the futures they want.",Organisation,,,,,,,,,https://www.nesta.org.uk/project/centre-collective-intelligence-design/,,https://docs.google.com/spreadsheets/d/e/2PACX-1vSD7EtY6pg1Bk2OMmQzScWfgfKx7mJFkeLpHsN_DFd9qVSs6o6z5RGHAX_q1iW5b0O9rhOm5h4sxWEv/pub?gid=125969614&single=true&output=csv
Peter Thirup Baeck,Director of the Centre for Collective Intelligence Design at Nesta.,Individual,,,,,peter-thirup-baeck-3556aa30,,,,,,https://docs.google.com/spreadsheets/d/e/2PACX-1vSD7EtY6pg1Bk2OMmQzScWfgfKx7mJFkeLpHsN_DFd9qVSs6o6z5RGHAX_q1iW5b0O9rhOm5h4sxWEv/pub?gid=125969614&single=true&output=csv
Kathy Peach,Director of the Centre for Collective Intelligence Design at Nesta.,Individual,,,,,kathy-peach-5a5797a,,,,,,https://docs.google.com/spreadsheets/d/e/2PACX-1vSD7EtY6pg1Bk2OMmQzScWfgfKx7mJFkeLpHsN_DFd9qVSs6o6z5RGHAX_q1iW5b0O9rhOm5h4sxWEv/pub?gid=125969614&single=true&output=csv
Collective Intelligence Project,We're on a mission to help steer transformative technology for the collective good.,Organisation,collectintel.bsky.social,,,collect_intel,,,,,https://www.cip.org/,,
AI4CI,"A UKRI research hub and consortium, bringing together research groups from the Universities of Bath, Bristol, Cardiff, Exeter, Glasgow, Ulster and UCL.",Community,,,,,,,,,https://ai4ci.ac.uk/,,
pol.is,"An open source, real-time system for gathering, analyzing and understanding what large groups of people think in their own words, enabled by advanced statistics and machine learning.",Project,,,,,,,,,https://pol.is/,,
Computational Democracy Project,"The Computational Democracy Project designs, engineers and maintains Polis.",Organisation,,,,,,,,,https://compdemocracy.org/,,
Strategy Room,"The Strategy Room is an immersive experience which uses facilitated deliberation, interactive polling and collective intelligence to identify the climate change policies that will best help each local area to reach net zero emissions.",Project,,,,,,,,,https://strategyroom.uk,,https://docs.google.com/spreadsheets/d/e/2PACX-1vSD7EtY6pg1Bk2OMmQzScWfgfKx7mJFkeLpHsN_DFd9qVSs6o6z5RGHAX_q1iW5b0O9rhOm5h4sxWEv/pub?gid=125969614&single=true&output=csv
OpenStreetMap,Comprehensive international community mapping project and open geo dataset.,Project,,,,,,,,,https://www.openstreetmap.org/,,
Institute for the Future of Work,An independent research and development institute exploring how new technologies are transforming work and working lives.,Organisation,ifow.bsky.social,,,FutureWorkInst,,,,,https://www.ifow.org/,,
